etape,id_batiment,type_batiment,prises,cost_cur,time_cur_h,cost_per_prise,time_per_prise,is_uninhabited,infrastructures
17,E000169,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007155', 'P007982']"
18,E000179,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007256', 'P007982']"
19,E000200,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000266', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007117', 'P007982']"
20,E000208,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007290', 'P007982']"
21,E000209,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007367', 'P007982']"
22,E000210,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007401', 'P007982']"
23,E000223,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000206', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007351', 'P007982']"
24,E000269,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000216', 'P000279', 'P000290', 'P000292', 'P000311', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007342', 'P007982']"
25,E000272,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000216', 'P000264', 'P000279', 'P000290', 'P000292', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007174', 'P007982']"
26,E000288,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000380', 'P000394', 'P007111', 'P007414', 'P007982']"
27,E000296,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000216', 'P000235', 'P000279', 'P000290', 'P000292', 'P000311', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007253', 'P007982']"
28,E000304,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007361', 'P007982']"
29,E000324,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000339', 'P000355', 'P000372', 'P000380', 'P000394', 'P000396', 'P007111', 'P007332', 'P007982']"
30,E000343,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000066', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000371', 'P000372', 'P000380', 'P000394', 'P007111', 'P007247', 'P007982']"
31,E000345,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000066', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000284', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007316', 'P007982']"
32,E000356,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000339', 'P000355', 'P000372', 'P000380', 'P000394', 'P000396', 'P007111', 'P007254', 'P007982']"
33,E000357,habitation,8,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000339', 'P000355', 'P000372', 'P000380', 'P000394', 'P000396', 'P007111', 'P007138', 'P007982']"
34,E000005,habitation,7,0.0,0.0,0.0,0.0,0,"['P000308', 'P000378', 'P007111', 'P007249', 'P007983']"
35,E000012,habitation,7,0.0,0.0,0.0,0.0,0,"['P000241', 'P007111', 'P007150', 'P007982']"
36,E000017,habitation,7,0.0,0.0,0.0,0.0,0,"['P000029', 'P000241', 'P007111', 'P007325', 'P007982']"
37,E000020,habitation,7,0.0,0.0,0.0,0.0,0,"['P000170', 'P000241', 'P007111', 'P007145', 'P007982']"
38,E000024,habitation,7,0.0,0.0,0.0,0.0,0,"['P000241', 'P000298', 'P007111', 'P007368', 'P007982']"
39,E000025,habitation,7,0.0,0.0,0.0,0.0,0,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007251', 'P007982']"
40,E000048,habitation,7,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007305', 'P007982']"
41,E000053,habitation,7,0.0,0.0,0.0,0.0,0,"['P000123', 'P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007120', 'P007982']"
42,E000066,habitation,7,0.0,0.0,0.0,0.0,0,"['P000020', 'P000058', 'P000160', 'P000236', 'P000348', 'P007111', 'P007144', 'P007983']"
43,E000068,habitation,7,0.0,0.0,0.0,0.0,0,"['P000020', 'P000160', 'P000168', 'P000348', 'P007111', 'P007164', 'P007983']"
44,E000082,habitation,7,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007181', 'P007982']"
45,E000091,habitation,7,0.0,0.0,0.0,0.0,0,"['P000078', 'P000181', 'P000256', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007382', 'P007982']"
46,E000099,habitation,7,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000299', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007156', 'P007982']"
47,E000101,habitation,7,0.0,0.0,0.0,0.0,0,"['P000003', 'P000126', 'P000181', 'P000231', 'P000381', 'P000394', 'P000395', 'P007111', 'P007392', 'P007982']"
48,E000104,habitation,7,0.0,0.0,0.0,0.0,0,"['P000126', 'P000181', 'P000196', 'P000231', 'P000381', 'P000394', 'P000395', 'P007111', 'P007344', 'P007982']"
49,E000115,habitation,7,0.0,0.0,0.0,0.0,0,"['P000147', 'P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007323', 'P007982', 'P007987']"
50,E000121,habitation,7,0.0,0.0,0.0,0.0,0,"['P000009', 'P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000394', 'P007111', 'P007234', 'P007982']"
51,E000122,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007187', 'P007982']"
52,E000124,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007353', 'P007982']"
53,E000132,habitation,7,0.0,0.0,0.0,0.0,0,"['P000009', 'P000046', 'P000163', 'P000181', 'P000198', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000394', 'P007111', 'P007231', 'P007982']"
54,E000136,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000113', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007337', 'P007982']"
55,E000153,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000221', 'P000223', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000331', 'P000394', 'P007111', 'P007183', 'P007982']"
56,E000156,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000312', 'P000317', 'P000394', 'P000403', 'P007111', 'P007160', 'P007982']"
57,E000172,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000145', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000312', 'P000317', 'P000394', 'P000403', 'P007111', 'P007330', 'P007982']"
58,E000189,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000289', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007390', 'P007982']"
59,E000206,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007359', 'P007982']"
60,E000245,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007197', 'P007982']"
61,E000248,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000391', 'P000394', 'P007111', 'P007195', 'P007982']"
62,E000276,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000064', 'P000068', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000380', 'P000394', 'P007111', 'P007818', 'P007982']"
63,E000282,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000211', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007398', 'P007982']"
64,E000290,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000380', 'P000394', 'P007111', 'P007170', 'P007982']"
65,E000294,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000118', 'P000134', 'P000142', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007399', 'P007982']"
66,E000295,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000118', 'P000134', 'P000142', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007296', 'P007982']"
67,E000305,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000252', 'P000279', 'P000282', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000380', 'P000394', 'P007111', 'P007346', 'P007982']"
68,E000311,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000339', 'P000355', 'P000372', 'P000380', 'P000394', 'P000396', 'P007111', 'P007198', 'P007982']"
69,E000314,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000055', 'P000115', 'P000163', 'P000181', 'P000185', 'P000216', 'P000279', 'P000290', 'P000292', 'P000311', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007129', 'P007982']"
70,E000338,habitation,7,0.0,0.0,0.0,0.0,0,"['P000046', 'P000066', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000369', 'P000372', 'P000380', 'P000394', 'P007111', 'P007389', 'P007982']"
71,E000008,habitation,6,0.0,0.0,0.0,0.0,0,"['P000352', 'P007111', 'P007320', 'P007982']"
72,E000015,habitation,6,0.0,0.0,0.0,0.0,0,"['P000020', 'P000160', 'P000348', 'P007111', 'P007255', 'P007983']"
73,E000022,habitation,6,0.0,0.0,0.0,0.0,0,"['P000040', 'P000241', 'P007111', 'P007277', 'P007982']"
74,E000028,habitation,6,0.0,0.0,0.0,0.0,0,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007338', 'P007982']"
75,E000038,habitation,6,0.0,0.0,0.0,0.0,0,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007347', 'P007983']"
76,E000044,habitation,6,0.0,0.0,0.0,0.0,0,"['P000160', 'P000308', 'P000347', 'P007111', 'P007378', 'P007983']"
77,E000062,habitation,6,0.0,0.0,0.0,0.0,0,"['P000015', 'P000020', 'P000075', 'P000160', 'P000348', 'P007111', 'P007352', 'P007983']"
78,E000065,habitation,6,0.0,0.0,0.0,0.0,0,"['P000020', 'P000160', 'P000236', 'P000344', 'P000348', 'P007111', 'P007343', 'P007983']"
79,E000072,habitation,6,0.0,0.0,0.0,0.0,0,"['P000160', 'P000209', 'P000308', 'P000347', 'P007111', 'P007236', 'P007983']"
80,E000086,habitation,6,0.0,0.0,0.0,0.0,0,"['P000181', 'P000256', 'P000258', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007388', 'P007982']"
81,E000096,habitation,6,0.0,0.0,0.0,0.0,0,"['P000103', 'P000181', 'P000256', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007413', 'P007982']"
82,E000117,habitation,6,0.0,0.0,0.0,0.0,0,"['P000147', 'P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007358', 'P007982', 'P007987']"
83,E000119,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000394', 'P007111', 'P007141', 'P007982']"
84,E000125,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007222', 'P007982']"
85,E000126,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007331', 'P007982']"
86,E000154,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007267', 'P007982']"
87,E000191,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000151', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007301', 'P007982']"
88,E000199,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000266', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007271', 'P007982']"
89,E000213,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007257', 'P007982']"
90,E000232,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000139', 'P000153', 'P000163', 'P000181', 'P000253', 'P000266', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007248', 'P007982']"
91,E000235,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000049', 'P000084', 'P000134', 'P000141', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007340', 'P007982']"
92,E000238,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007219', 'P007982']"
93,E000253,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000206', 'P000260', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007289', 'P007982']"
94,E000256,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000206', 'P000240', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007312', 'P007982']"
95,E000264,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007209', 'P007982']"
96,E000270,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000216', 'P000279', 'P000290', 'P000292', 'P000311', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007114', 'P007982']"
97,E000283,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000211', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007130', 'P007982']"
98,E000300,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000115', 'P000163', 'P000181', 'P000216', 'P000279', 'P000290', 'P000292', 'P000311', 'P000314', 'P000317', 'P000353', 'P000394', 'P007111', 'P007276', 'P007982', 'P007989']"
99,E000307,habitation,6,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000142', 'P000163', 'P000181', 'P000233', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000328', 'P000339', 'P000355', 'P000372', 'P000380', 'P000394', 'P000396', 'P007111', 'P007412', 'P007982']"
100,E000333,habitation,6,0.0,0.0,0.0,0.0,0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007167', 'P007982']"
101,E000334,habitation,6,0.0,0.0,0.0,0.0,0,"['P000023', 'P000046', 'P000084', 'P000134', 'P000136', 'P000142', 'P000163', 'P000181', 'P000211', 'P000226', 'P000233', 'P000252', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000335', 'P000372', 'P000380', 'P000394', 'P007111', 'P007274', 'P007982']"
102,E000010,habitation,5,0.0,0.0,0.0,0.0,0,"['P000352', 'P007111', 'P007115', 'P007982']"
103,E000014,habitation,5,0.0,0.0,0.0,0.0,0,"['P000241', 'P007111', 'P007397', 'P007982']"
104,E000016,habitation,5,0.0,0.0,0.0,0.0,0,"['P000020', 'P000160', 'P000348', 'P007111', 'P007333', 'P007983']"
105,E000027,habitation,5,0.0,0.0,0.0,0.0,0,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007146', 'P007982']"
106,E000029,habitation,5,0.0,0.0,0.0,0.0,0,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007328', 'P007982']"
107,E000033,habitation,5,0.0,0.0,0.0,0.0,0,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007227', 'P007982']"
108,E000056,habitation,5,0.0,0.0,0.0,0.0,0,"['P000020', 'P000148', 'P000160', 'P000301', 'P000348', 'P007111', 'P007408', 'P007983']"
109,E000059,habitation,5,0.0,0.0,0.0,0.0,0,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007166', 'P007983', 'P007986']"
110,E000075,habitation,5,0.0,0.0,0.0,0.0,0,"['P000160', 'P000277', 'P000308', 'P000347', 'P007111', 'P007171', 'P007983']"
111,E000078,habitation,5,0.0,0.0,0.0,0.0,0,"['P000160', 'P000277', 'P000308', 'P000347', 'P007111', 'P007360', 'P007983']"
112,E000079,habitation,5,0.0,0.0,0.0,0.0,0,"['P000160', 'P000277', 'P000308', 'P000347', 'P007111', 'P007308', 'P007983']"
113,E000083,habitation,5,0.0,0.0,0.0,0.0,0,"['P000126', 'P000181', 'P000231', 'P000381', 'P000394', 'P000395', 'P007111', 'P007336', 'P007982']"
114,E000090,habitation,5,0.0,0.0,0.0,0.0,0,"['P000078', 'P000181', 'P000256', 'P000267', 'P000334', 'P000394', 'P000395', 'P007111', 'P007265', 'P007982']"
115,E000103,habitation,5,0.0,0.0,0.0,0.0,0,"['P000126', 'P000181', 'P000196', 'P000231', 'P000381', 'P000394', 'P000395', 'P007111', 'P007124', 'P007982']"
116,E000105,habitation,5,0.0,0.0,0.0,0.0,0,"['P000126', 'P000181', 'P000196', 'P000231', 'P000381', 'P000394', 'P000395', 'P007111', 'P007279', 'P007982']"
117,E000116,habitation,5,0.0,0.0,0.0,0.0,0,"['P000147', 'P000181', 'P000256', 'P000334', 'P000342', 'P000394', 'P000395', 'P007111', 'P007229', 'P007982', 'P007987']"
118,E000123,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000394', 'P007111', 'P007310', 'P007982']"
119,E000134,habitation,5,0.0,0.0,0.0,0.0,0,"['P000009', 'P000046', 'P000163', 'P000181', 'P000198', 'P000279', 'P000290', 'P000292', 'P000317', 'P000326', 'P000394', 'P007111', 'P007409', 'P007982']"
120,E000143,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007266', 'P007982']"
121,E000162,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000294', 'P000317', 'P000326', 'P000331', 'P000349', 'P000394', 'P000400', 'P007111', 'P007362', 'P007982']"
122,E000170,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007356', 'P007982']"
123,E000171,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000317', 'P000394', 'P007111', 'P007303', 'P007982']"
124,E000180,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007235', 'P007982']"
125,E000181,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007140', 'P007982']"
126,E000201,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000153', 'P000163', 'P000181', 'P000253', 'P000266', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007349', 'P007982']"
127,E000204,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000084', 'P000134', 'P000141', 'P000153', 'P000163', 'P000181', 'P000253', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007119', 'P007982']"
128,E000212,habitation,5,0.0,0.0,0.0,0.0,0,"['P000046', 'P000134', 'P000163', 'P000181', 'P000279', 'P000290', 'P000292', 'P000296', 'P000317', 'P000372', 'P000394', 'P007111', 'P007158', 'P007982']"
